macro_region,tam_bruto,clientes_fcarnes,clientes_local,tam_neto,penetracion_pct,tam_mayorista,tam_proceso,tam_retail,verificados_total,verificados_a_b,verificados_confianza_alta,pct_verificados,distancia_sakbe_km,costo_logistico_mxn,casetas_mxn,combustible_mxn
CENTRO,28251,29,0,28222,0.1,369,492,27390,794,794,0,2.81,727.3,4788.0,1590.0,3198.0
GOLFO_SURESTE,18411,0,0,18411,0.0,118,1257,17036,1017,1017,0,5.52,965.8,6950.0,2704.0,4246.0
OCCIDENTE,10817,2,0,10815,0.02,182,436,10199,770,770,0,7.12,615.0,3850.0,1145.0,2704.0
BAJIO,6795,93,0,6702,1.37,134,101,6560,2574,2574,0,37.88,521.3,3061.0,769.0,2292.0
PENINSULA,3589,0,0,3589,0.0,50,66,3473,86,86,0,2.4,1433.0,9897.0,3596.0,6301.0
NOROESTE,2991,6,0,2985,0.2,81,97,2813,889,889,0,29.72,521.3,3061.0,769.0,2292.0
NORESTE,5728,3070,0,2658,53.6,201,137,5390,2248,2248,0,39.25,261.1,1501.0,353.0,1148.0
FRONTERA_NORTE,2219,16,0,2203,0.72,167,111,1941,383,383,0,17.26,965.8,6950.0,2704.0,4246.0
OTRA,819,152,0,667,18.56,0,0,819,0,0,0,0.0,727.3,4788.0,1590.0,3198.0
