destino,lat,lon,clientes_fcarnes,macro_region,distancia_km,tiempo_horas,costo_casetas,costo_combustible,costo_total,zona_logistica,source,num_points,sakbe_status,sakbe_distance_km,sakbe_duration_min,sakbe_costo_casetas,sakbe_costo_combustible,sakbe_costo_total,sakbe_source,sakbe_warning,sakbe_num_segments,diff_distance_km,diff_distance_pct,diff_costo_total,diff_costo_pct,costo_casetas_final,costo_combustible_final,costo_total_final,fuente_costos
Sabinas,27.8641,-101.1299,6,NORESTE,355.62,5.1,977.96,1564.73,2542.68,FORANEA,here_routing,2735,success,307.39,250.2,0.0,1351.59,1351.59,sakbe,,1,-48.23000000000002,-13.6,-1191.09,-46.8,0.0,1351.59,1351.59,SAKBE_INEGI
Chihuahua,28.6585,-106.0708,6,FRONTERA_NORTE,804.45,11.5,2212.24,3539.58,5751.82,LEJANA,here_routing,4319,success,897.27,698.2,1131.98,3945.29,5077.27,sakbe_mixed_1/2,Route calculated in 2 segments. 1 used Sakbe API.,2,92.81999999999994,11.5,-674.5499999999993,-11.7,1131.98,3945.29,5077.27,SAKBE_INEGI
Méndez,25.1183,-98.5885,5,NORESTE,226.68,3.2,623.37,997.39,1620.76,REGIONAL,here_routing,1401,success,224.04,174.1,499.0,985.1,1484.1,sakbe,,1,-2.640000000000015,-1.2,-136.66000000000008,-8.4,499.0,985.1,1484.1,SAKBE_INEGI
San Fernando,24.8459,-98.1476,4,GOLFO_SURESTE,293.9,4.2,808.22,1293.16,2101.39,REGIONAL,here_routing,1685,success,290.74,226.2,499.0,1278.38,1777.38,sakbe,,1,-3.159999999999968,-1.1,-324.00999999999976,-15.4,499.0,1278.38,1777.38,SAKBE_INEGI
Los Ramones,25.6986,-99.6248,4,NORESTE,82.61,1.2,227.18,363.48,590.66,LOCAL,here_routing,789,success,80.88,67.8,436.0,355.63,791.63,sakbe,,1,-1.730000000000004,-2.1,200.97000000000003,34.0,436.0,355.63,791.63,SAKBE_INEGI
Mexicali,32.6211,-115.4467,4,FRONTERA_NORTE,2926.33,41.8,8047.41,12875.85,20923.26,LEJANA,here_routing,22078,success,2428.49,1598.1,6360.0,10678.07,17038.07,sakbe_segmented,,4,-497.84000000000015,-17.0,-3885.1899999999987,-18.6,6360.0,10678.07,17038.07,SAKBE_INEGI
Aguascalientes,21.8842,-102.2858,4,BAJIO,571.61,8.2,1571.93,2515.08,4087.01,FORANEA,here_routing,4180,success,676.74,448.7,978.0,2975.63,3953.63,sakbe_segmented,,2,105.13,18.4,-133.3800000000001,-3.3,978.0,2975.63,3953.63,SAKBE_INEGI
Puebla,32.5655,-115.3357,3,CENTRO,2094.37,29.9,5759.52,9215.23,14974.75,LEJANA,here_routing,12769,success,2411.06,1585.6,6305.0,10601.43,16906.43,sakbe_segmented,,4,316.69000000000005,15.1,1931.6800000000003,12.9,6305.0,10601.43,16906.43,SAKBE_INEGI
Hidalgo,25.9703,-100.4531,3,OCCIDENTE,42.01,0.6,115.53,184.84,300.37,LOCAL,here_routing,681,success,40.35,46.6,0.0,177.42,177.42,sakbe,,1,-1.6599999999999966,-4.0,-122.95000000000002,-40.9,0.0,177.42,177.42,SAKBE_INEGI
Gómez Palacio,25.5834,-103.4879,3,NOROESTE,344.78,4.9,948.14,1517.03,2465.18,FORANEA,here_routing,2215,success,358.01,222.2,1067.0,1574.17,2641.17,sakbe,,1,13.230000000000018,3.8,175.99000000000024,7.1,1067.0,1574.17,2641.17,SAKBE_INEGI
